source_id,source_title,source_url,publisher,access_date,source_type,reliability_level,raw_file_path,notes
SRC_MOE_MAJOR_2024_PAGE_ATTACH_a802da1d,2024年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780758186.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020250422312780758186.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html
SRC_MOE_MAJOR_2024_PAGE_ATTACH_f5230ce7,2024年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780837078.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020250422312780837078.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html
SRC_MOE_MAJOR_2023_PAGE,2023年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html,教育部,2026-05-17,教育部通知页面,A,raw/t20240319_1121111.html,已定位附件链接但按用户要求停止继续下载和抽取
SRC_MOE_MAJOR_2023_PAGE_ATTACH_c2e5065b,2023年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/W020240319305498774149.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020240319305498774149.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html
SRC_MOE_MAJOR_2023_PAGE_ATTACH_44031508,2023年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/W020240319305498791768.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020240319305498791768.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html
SRC_MOE_MAJOR_2022_PAGE,2022年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html,教育部,2026-05-17,教育部通知页面,A,raw/t20230419_1056224.html,已定位附件链接但按用户要求停止继续下载和抽取
SRC_MOE_MAJOR_2022_PAGE_ATTACH_0ae5643f,2022年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/W020230419336779647503.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020230419336779647503.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html
SRC_MOE_MAJOR_2022_PAGE_ATTACH_9e9dc92c,2022年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/W020230419336779992203.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020230419336779992203.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html
SRC_MOE_MAJOR_2021_PAGE,2021年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html,教育部,2026-05-17,教育部通知页面,A,raw/t20220224_602135.html,已定位附件链接但按用户要求停止继续下载和抽取
SRC_MOE_MAJOR_2021_PAGE_ATTACH_dc14ae46,2021年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/W020220224570485528846.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020220224570485528846.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html
SRC_MOE_MAJOR_2021_PAGE_ATTACH_3a1f0321,2021年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/W020220228600206028276.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020220228600206028276.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html
SRC_MOE_MAJOR_2020_PAGE,2020年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html,教育部,2026-05-17,教育部通知页面,A,raw/t20210301_516076.html,已定位xls附件链接但按用户要求停止继续下载和抽取
SRC_MOE_MAJOR_2020_PAGE_ATTACH_3d54a702,2020年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/W020210301421098802148.xls,教育部,2026-05-18,自动发现附件,A,raw/W020210301421098802148.xls,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html
SRC_MOE_MAJOR_2020_PAGE_ATTACH_c68b0646,2020年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/W020210302545152199812.xls,教育部,2026-05-18,自动发现附件,A,raw/W020210302545152199812.xls,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html
SRC_MOE_MAJOR_2019_PAGE,2019年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html,教育部,2026-05-17,教育部通知页面,A,raw/t20200303_426853.html,已定位附件链接但按用户要求停止继续下载和抽取
SRC_MOE_MAJOR_2019_PAGE_ATTACH_0361ab06,2019年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/W020200303365402032446.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020200303365402032446.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html
SRC_MOE_MAJOR_2019_PAGE_ATTACH_be6842ef,2019年度普通高等学校本科专业备案和审批结果页面 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/W020200303365403079451.pdf,教育部,2026-05-18,自动发现附件,A,raw/W020200303365403079451.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html
SRC_MOE_MAJOR_2018_PAGE,2018年度普通高等学校本科专业备案和审批结果页面,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html,教育部,2026-05-17,教育部通知页面,A,raw/t20190329_376012.html,已定位docx附件链接但按用户要求停止继续下载和抽取
SRC_MOE_MAJOR_2018_PAGE_ATTACH_32cb2f53,2018年度普通高等学校本科专业备案和审批结果页面 附件,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/W020190329560198491315.docx,教育部,2026-05-18,自动发现附件,A,raw/W020190329560198491315.docx,由页面自动发现：https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html
MOE_2024_UNDERGRAD_MAJOR_RESULT,2024年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/t20250422_1188239.html,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。
MOE_2024_UNDERGRAD_MAJOR_RESULT_ATTACH_a802da1d,2024年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780758186.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020250422312780758186.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html
MOE_2024_UNDERGRAD_MAJOR_RESULT_ATTACH_f5230ce7,2024年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780837078.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020250422312780837078.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html
MOE_2023_UNDERGRAD_MAJOR_RESULT,2023年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/t20240319_1121111.html,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。
MOE_2023_UNDERGRAD_MAJOR_RESULT_ATTACH_c2e5065b,2023年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/W020240319305498774149.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020240319305498774149.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html
MOE_2023_UNDERGRAD_MAJOR_RESULT_ATTACH_44031508,2023年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/W020240319305498791768.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020240319305498791768.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html
MOE_2022_UNDERGRAD_MAJOR_RESULT,2022年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/t20230419_1056224.html,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。
MOE_2022_UNDERGRAD_MAJOR_RESULT_ATTACH_0ae5643f,2022年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/W020230419336779647503.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020230419336779647503.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html
MOE_2022_UNDERGRAD_MAJOR_RESULT_ATTACH_9e9dc92c,2022年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/W020230419336779992203.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020230419336779992203.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html
MOE_2021_UNDERGRAD_MAJOR_RESULT,2021年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/t20220224_602135.html,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。
MOE_2021_UNDERGRAD_MAJOR_RESULT_ATTACH_dc14ae46,2021年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/W020220224570485528846.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020220224570485528846.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html
MOE_2021_UNDERGRAD_MAJOR_RESULT_ATTACH_3a1f0321,2021年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/W020220228600206028276.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020220228600206028276.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html
MOE_2020_UNDERGRAD_MAJOR_RESULT,2020年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/t20210301_516076.html,已下载xls原件；当前阶段已完成福建省支撑专业清单初步结构化筛选。
MOE_2020_UNDERGRAD_MAJOR_RESULT_ATTACH_3d54a702,2020年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/W020210301421098802148.xls,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020210301421098802148.xls,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html
MOE_2020_UNDERGRAD_MAJOR_RESULT_ATTACH_c68b0646,2020年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/W020210302545152199812.xls,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020210302545152199812.xls,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html
MOE_2019_UNDERGRAD_MAJOR_RESULT,2019年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/t20200303_426853.html,已下载原件；本阶段文本抽取效果不稳定，需OCR或人工表格化。
MOE_2019_UNDERGRAD_MAJOR_RESULT_ATTACH_0361ab06,2019年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/W020200303365402032446.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020200303365402032446.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html
MOE_2019_UNDERGRAD_MAJOR_RESULT_ATTACH_be6842ef,2019年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/W020200303365403079451.pdf,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020200303365403079451.pdf,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html
MOE_2018_UNDERGRAD_MAJOR_RESULT,2018年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/t20190329_376012.html,已下载docx原件；需继续按福建省段和支撑专业清单抽取。
MOE_2018_UNDERGRAD_MAJOR_RESULT_ATTACH_d4aca43c,2018年度普通高等学校本科专业备案和审批结果 附件,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/W020190329560198491315.docx,中华人民共和国教育部,2026-05-18,自动发现附件,A,raw/W020190329560198491315.docx,由页面自动发现：https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html
