system,indicator_code,indicator_name,scope_level,province,city,school,year,value,unit,source_id,collection_method,confidence,needs_manual_review,notes
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2023,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2024,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
教育系统 E,E2_AI_PLATFORM_COUNT,AI相关重点实验室/产业学院/协同创新平台数量,E2 基本口径,福建省,,,2025,,个,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从高校官网和教育厅平台名单核验,低,是,平台成立年份和AI相关性需人工复核
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2018,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2019,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2020,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2021,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2022,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2023,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2024,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_COURSE_COVERAGE,AI核心课程覆盖度,E2 基本口径,福建省,,,2025,,覆盖度,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从培养方案逐校抽取,低,是,课程覆盖度需先统一分母和课程关键词
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2018,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2019,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2020,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2021,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2022,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2023,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2024,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
教育系统 E,E2_AI_TEACHER_COUNT,AI方向教师/导师数量,E2 基本口径,福建省,,,2025,,人,SRC_E2_METHOD_XLSX,当前阶段仅完成口径定位待从师资页或导师库逐校抽取,低,是,教师研究方向年度连续性弱需人工复核
